id,predicted_price
2591820310,375491.12
7974200820,834628.1
7701450110,1107788.5
9522300010,1680203.2
9510861140,727793.56
1761300310,245028.73
7732410120,784033.56
7010701383,636084.1
291310170,413441.16
4232901990,564867.7
6840701125,617201.56
3971700580,418773.72
4202400078,248350.83
6064800090,337619.62
2626119028,207832.69
3303980660,1055981.1
862000020,721513.06
2386000070,917246.56
1138000450,375550.6
1775800420,452155.16
2291401425,418391.7
2025770560,842351.9
3525069037,718291.06
9324800450,554708.1
8080400136,543277.1
8651540040,514883.12
9407001790,237984.0
1773101530,184531.66
9432900250,331389.56
1794500695,592485.2
2220069003,314414.34
923000120,477577.0
5728000060,555528.2
16000200,232408.34
1926059094,442687.56
6672900220,974408.56
3629860060,814531.56
1822069109,405888.22
6675500105,378981.88
249000180,2054123.6
226059065,477475.44
396100110,271233.84
9264450460,334589.0
7853361210,375365.12
9474700020,286861.2
421000455,227770.61
3755200220,419459.6
7960100075,469842.94
9477100490,395488.8
9138100350,774927.4
1624049275,460821.25
2770606890,513154.66
1157200189,393912.75
2770601800,496108.78
9301300805,552151.0
2325069032,1140809.4
1021079099,328350.03
7215730040,753363.0
1853200080,478842.56
3224600340,692743.6
3222049120,446001.78
2113700025,282205.16
7893207925,211775.27
3586501085,573915.75
8024200010,408937.06
7116500705,175702.03
1598600209,324217.12
7204200025,912065.2
4206901505,565648.75
2937300440,899629.75
7205000180,333029.1
8718500665,371842.06
5318101765,948419.5
4122700020,977922.94
8078700020,518690.84
3303980680,931552.5
8924100372,1152250.8
2781270210,209438.39
519000043,535708.4
3225069301,1352337.4
151000075,736541.9
2297400020,440478.34
6617500085,651569.75
104510180,240234.44
3528900060,980759.4
3345100286,506639.62
1226039130,429290.53
8712100720,794396.75
3037200010,388047.28
3626039268,422277.22
104510230,245615.03
5112800060,416519.75
6072400280,646690.94
5317100570,1170959.9
9528102993,530637.94
2919201095,474646.53
6181400920,242762.55
185000161,243314.19
8691400010,743691.9
3345700165,542703.3
6151800486,229078.1
4340000080,1255947.6
4136960010,544437.4
3634100030,342856.6
1624059224,1062392.2
2788400090,257060.19
9828200762,453611.97
7524400250,579590.94
3528000290,741767.4
5700003630,2001196.6
2720069019,289304.4
7227501170,233678.5
2397101270,603614.56
6792100090,718352.7
2770602265,514852.2
3971700937,291043.97
422049203,225232.73
3076500830,300264.38
1423400260,272054.03
9161100795,452948.84
3126049052,471216.97
5100401468,383742.25
514500235,477380.28
1423200170,192610.66
1402100070,431130.25
624110020,736962.0
2407000145,210127.0
1890000225,816843.5
1320069271,348087.12
5490700085,356236.8
263000155,455175.03
3726800201,410999.88
5153200358,297689.12
2725079018,742724.4
7165700200,271418.06
9429000170,576530.25
8718500075,381453.38
1760650950,307618.7
1068000559,1205902.9
4113800500,637787.94
4077800507,548513.9
2725069150,728416.44
4008400035,662151.8
7016310270,412540.4
1432701230,219683.3
3278606050,339679.16
2473350710,376411.5
2185000685,153650.73
7792000025,350350.8
6868200029,489328.78
624069003,749668.44
7431500280,871212.06
3296000040,560985.2
1118001215,1668608.6
6453900040,735336.06
333100209,750445.25
34001765,634233.0
8946700100,382827.7
5561401210,581825.0
6671900095,371758.03
3275850020,700944.94
3876300600,419207.66
1450900020,269620.94
8562780280,325583.56
7663700973,309726.72
2126049032,348598.72
1823059159,170469.9
3438503426,270561.88
9297301495,498938.53
7140700850,369672.5
7942601805,686074.25
2555900030,352617.12
2887970040,269044.03
7419700010,629779.44
2239000011,361836.03
9283800050,359410.75
9407001340,266835.78
217500140,524859.56
7212660520,252008.61
3298201170,345537.1
3057000400,276526.5
6865200444,496380.44
6071600340,502255.1
6821600005,683512.3
1235100371,776786.8
7796450340,339541.2
3603000410,166771.75
9297300255,510544.1
9126100850,520607.25
2770601462,486615.7
2599001500,220945.84
1102000095,773450.0
1853080640,917620.1
9551201585,940143.56
3438500796,343747.78
7518504291,528458.75
9269200340,390998.28
715010130,1543590.4
1982201485,598817.25
9526500080,391806.8
9277200180,453206.8
6669150280,289577.7
8917100153,582413.5
3760500516,1073414.8
2725069050,931803.94
3332000091,314853.62
8562770080,594401.5
8151601190,254840.64
8563040160,594143.6
240000269,642714.2
4307350200,304223.34
1311910300,270657.1
3574900030,503173.2
7853230570,432165.12
320069049,349107.75
9839301060,644607.9
7011201333,653824.25
2781320100,268080.25
3421069120,420834.75
7852030320,452203.03
5316101075,2353385.0
5309100750,555974.94
629000730,767267.75
511700170,303013.03
1562100030,546640.7
2489200230,576424.1
524069116,506833.88
5315100737,976789.5
1868900675,822699.1
1608000120,342351.78
705700240,359431.66
7575600610,261930.1
1778500015,746455.94
5423500240,203224.14
6713700025,350287.0
2734100734,288776.28
301402280,217727.1
2113700205,269829.53
4114601570,3221752.8
3332000615,303588.9
